Date,Combined_Area_km2
2025-08-01,81403.48
2025-08-02,101027.0
2025-08-03,139691.63
2025-08-04,73676.79
2025-08-05,111589.63
2025-08-06,69078.42
2025-08-07,103388.28
2025-08-08,138283.61
2025-08-09,81518.84
2025-08-10,135058.0
2025-08-11,89585.85
2025-08-12,29061.79
2025-08-13,118577.33
2025-08-14,114972.42
2025-08-15,153786.4
2025-08-16,82759.09
2025-08-17,122098.38
2025-08-18,75814.62
2025-08-19,121402.55
2025-08-20,168576.08
2025-08-21,90892.5
2025-08-22,60935.79
2025-08-23,139101.42
2025-08-24,84531.68
2025-08-25,64722.99
2025-08-26,162967.94
2025-08-27,164048.84
2025-08-28,89495.29
2025-08-29,74339.71
2025-08-30,115693.79
2025-08-31,131018.13
